"rbi_activity_date","rbi_meeting_date_indicator","rbi_projection_materials_indicator","rbi_minutes_date_indicator"
2000-04-27,1,0,0
2000-05-03,1,0,0
2000-11-04,1,0,0
2001-04-19,1,0,0
2001-10-22,1,0,0
2002-04-29,1,0,0
2002-10-29,1,0,0
2003-04-29,1,0,0
2003-11-03,1,0,0
2004-05-18,1,0,0
2004-10-26,1,0,0
2005-04-28,1,0,0
2005-07-26,1,0,0
2005-10-25,1,0,0
2006-04-17,1,0,0
2006-07-25,1,0,0
2006-10-31,1,0,0
2007-01-31,1,0,0
2007-04-24,1,0,0
2007-07-31,1,0,0
2007-10-30,1,0,0
2008-01-29,1,0,0
2008-07-29,1,0,0
2008-10-24,1,0,0
2009-01-27,1,0,0
2009-04-21,1,0,0
2009-07-28,1,0,0
2009-10-27,1,0,0
2010-01-29,1,0,0
2010-04-20,1,0,0
2010-07-27,1,0,0
2010-11-02,1,0,0
2011-01-25,1,0,0
2011-03-17,1,0,0
2011-05-03,1,0,0
2011-07-26,1,0,0
2011-10-25,1,0,0
2012-01-24,1,0,0
2012-04-17,1,0,0
2012-07-31,1,0,0
2012-10-30,1,0,0
2013-01-29,1,0,0
2013-05-03,1,0,0
2013-07-30,1,0,0
2013-10-29,1,0,0
2014-01-28,1,0,0
2014-04-01,1,0,0
2014-06-03,1,0,0
2014-08-05,1,0,0
2014-09-30,1,1,0
2014-12-02,1,0,0
2015-02-03,1,0,0
2015-04-07,1,1,0
2015-06-02,1,0,0
2015-08-04,1,0,0
2015-09-29,1,1,0
2015-12-01,1,0,0
2016-02-02,1,0,0
2016-04-05,1,1,0
2016-06-07,1,0,0
2016-08-09,1,0,0
2016-10-04,1,1,0
2016-10-18,0,0,1
2016-12-07,1,0,0
2016-12-21,0,0,1
2017-02-08,1,0,0
2017-02-22,0,0,1
2017-04-06,1,1,0
2017-04-20,0,0,1
2017-06-07,1,0,0
2017-06-21,0,0,1
2017-08-02,1,0,0
2017-08-16,0,0,1
2017-10-04,1,1,0
2017-10-18,0,0,1
2017-12-06,1,0,0
2017-12-20,0,0,1
2018-02-07,1,0,0
2018-02-21,0,0,1
2018-04-05,1,1,0
2018-04-19,0,0,1
2018-06-06,1,0,0
2018-06-20,0,0,1
2018-08-01,1,0,0
2018-08-16,0,0,1
2018-10-05,1,1,0
2018-10-19,0,0,1
2018-12-05,1,0,0
2018-12-19,0,0,1
2019-02-07,1,0,0
2019-02-21,0,0,1
2019-04-04,1,1,0
2019-04-18,0,0,1
2019-06-06,1,0,0
2019-06-20,0,0,1
2019-08-07,1,0,0
2019-08-21,0,0,1
2019-10-04,1,1,0
2019-10-18,0,0,1
2019-12-05,1,0,0
2019-12-19,0,0,1
2020-02-06,1,0,0
2020-02-20,0,0,1
2020-03-27,1,0,0
2020-04-09,1,1,0
2020-04-13,0,0,1
2020-05-22,1,0,0
2020-06-05,0,0,1
2020-08-06,1,0,0
2020-08-20,0,0,1
2020-10-09,1,1,0
2020-10-23,0,0,1
2020-12-04,1,0,0
2020-12-18,0,0,1
2021-02-05,1,0,0
2021-02-22,0,0,1
2021-04-07,1,1,0
2021-04-22,0,0,1
2021-06-04,1,0,0
2021-06-18,0,0,1
2021-08-06,1,0,0
2021-08-20,0,0,1
2021-10-08,1,1,0
2021-10-22,0,0,1
2021-12-08,1,0,0
2021-12-22,0,0,1
2022-02-10,1,0,0
2022-02-24,0,0,1
2022-04-08,1,1,0
2022-04-22,0,0,1
2022-05-04,1,0,0
2022-05-18,0,0,1
2022-06-08,1,0,0
2022-06-22,0,0,1
2022-08-05,1,0,0
2022-08-19,0,0,1
2022-09-30,1,1,0
2022-10-14,0,0,1
2022-12-07,1,0,0
2022-12-21,0,0,1
2023-02-08,1,0,0
2023-02-22,0,0,1
2023-04-06,1,1,0
2023-04-20,0,1,0
2023-06-08,1,0,0
2023-06-22,0,0,1
2023-08-10,1,0,0
2023-08-24,0,0,1
2023-10-06,1,1,0
2023-10-20,0,0,1
